url	group	tier	current_length	proposed_length	rule	current_title	proposed_title
https://www.tamsenfadal.com/podcast/longevity-doctor-how-women-can-burn-fat-build-muscle-age-strong	podcast	auto	115	38	before-colon	The #1 Longevity Doctor: How Women Can Burn Fat, Build Muscle & Age Strong | The Tamsen Show Podcast | Tamsen Fadal	The #1 Longevity Doctor | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-psychology-of-body-image-why-we-inherit-shame-and-tools-to-release-it	podcast	auto	115	43	before-colon	The Psychology of Body Image: Why We Inherit Shame and Tools to Release It | The Tamsen Show Podcast | Tamsen Fadal	The Psychology of Body Image | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-sleep-doctor-the-4-hormones-wrecking-your-sleep-what-to-do-about-it	podcast	auto	115	31	before-colon	The Sleep Doctor: The 4 Hormones Wrecking Your Sleep & What to Do About It | The Tamsen Show Podcast | Tamsen Fadal	The Sleep Doctor | Tamsen Fadal
https://www.tamsenfadal.com/podcast/therapist-reveals-why-adult-friendships-are-so-hard-and-how-to-fix-them	podcast	auto	115	32	before-colon	Therapist Reveals: Why Adult Friendships Are So Hard (And How to Fix Them) | The Tamsen Show Podcast | Tamsen Fadal	Therapist Reveals | Tamsen Fadal
https://www.tamsenfadal.com/podcast/dr-mary-claire-haver-the-perimenopause-symptoms-no-one-warned-you-about	podcast	auto	114	36	before-colon	Dr. Mary Claire Haver: The Perimenopause Symptoms No One Warned You About | The Tamsen Show Podcast | Tamsen Fadal	Dr. Mary Claire Haver | Tamsen Fadal
https://www.tamsenfadal.com/podcast/how-to-find-the-meaning-of-your-life-from-harvards-1-happiness-expert	podcast	editorial	114	70	truncated	How to Find the Meaning of Your Life (From Harvard's #1 Happiness Expert) | The Tamsen Show Podcast | Tamsen Fadal	How to Find the Meaning of Your Life (From Harvard's #1 | Tamsen Fadal
https://www.tamsenfadal.com/podcast/it-cant-rain-forever-kandi-burruss-on-reinvention-and-what-comes-next	podcast	auto	114	38	before-colon	“It Can’t Rain Forever”: Kandi Burruss on Reinvention and What Comes Next | The Tamsen Show Podcast | Tamsen Fadal	“It Can’t Rain Forever” | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-hair-loss-episode-this-is-what-a-top-dermatologist-wants-you-to-know	podcast	auto	114	36	before-colon	The Hair Loss Episode: THIS Is What a Top Dermatologist Wants You to Know | The Tamsen Show Podcast | Tamsen Fadal	The Hair Loss Episode | Tamsen Fadal
https://www.tamsenfadal.com/blog/what-every-woman-should-know-about-perimenopause-before-its-crisis-mode-the-tamsen-show	blog	editorial	114	70	truncated	What Every Woman Should Know About Perimenopause Before It‚Äôs Crisis Mode | The Tamsen Show | Blog | Tamsen Fadal	What Every Woman Should Know About Perimenopause Before | Tamsen Fadal
https://www.tamsenfadal.com/blog/why-leaving-a-narcissist-feels-impossible-and-the-first-mental-shift-that-changes-everything	blog	editorial	114	70	truncated	Why Leaving a Narcissist Feels Impossible and the First Mental Shift That Changes Everything | Blog | Tamsen Fadal	Why Leaving a Narcissist Feels Impossible and the First | Tamsen Fadal
https://www.tamsenfadal.com/podcast/melinda-french-gates-inside-her-600-million-mission-for-womens-health	podcast	auto	113	35	before-colon	Melinda French Gates: Inside Her $600 Million Mission for Women's Health | The Tamsen Show Podcast | Tamsen Fadal	Melinda French Gates | Tamsen Fadal
https://www.tamsenfadal.com/podcast/she-was-told-no-over-and-over-then-built-a-1-billion-company-at-53	podcast	editorial	113	63	truncated	She Was Told “No” Over and Over, Then Built A $1 Billion Company (At 53) | The Tamsen Show Podcast | Tamsen Fadal	She Was Told “No” Over and Over, Then Built A $1 | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-insulin-doctor-how-to-lose-belly-fat-stop-the-food-noise-for-good	podcast	auto	113	33	before-colon	The Insulin Doctor: How To Lose Belly Fat + Stop The Food Noise For Good | The Tamsen Show Podcast | Tamsen Fadal	The Insulin Doctor | Tamsen Fadal
https://www.tamsenfadal.com/podcast/why-your-belly-fat-wont-budge-even-when-youre-doing-everything-right	podcast	editorial	113	69	truncated	Why Your Belly Fat Won’t Budge (Even When You’re Doing Everything Right) | The Tamsen Show Podcast | Tamsen Fadal	Why Your Belly Fat Won’t Budge (Even When You’re Doing | Tamsen Fadal
https://www.tamsenfadal.com/podcast/1-dietitian-do-this-and-you-will-never-feel-guilty-about-eating-again	podcast	editorial	112	67	truncated	#1 Dietitian: Do THIS and You Will Never Feel Guilty About Eating Again | The Tamsen Show Podcast | Tamsen Fadal	#1 Dietitian: Do THIS and You Will Never Feel Guilty | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-4-dating-mistakes-keeping-smart-women-stuck-and-how-to-break-them	podcast	editorial	112	67	truncated	The 4 Dating Mistakes Keeping Smart Women Stuck (And How to Break Them) | The Tamsen Show Podcast | Tamsen Fadal	The 4 Dating Mistakes Keeping Smart Women Stuck (And | Tamsen Fadal
https://www.tamsenfadal.com/blog/3-ways-to-manage-menopause-brain-get-your-focus-back	blog	editorial	112	61	truncated	It‚Äôs Not Just in Your Head! 3 Ways to Manage ‚ÄúMenopause Brain‚Äù & Get Your Focus Back | Blog | Tamsen Fadal	It‚Äôs Not Just in Your Head! 3 Ways to Manage | Tamsen Fadal
https://www.tamsenfadal.com/blog/hot-flashes-and-your-heart-what-every-midlife-woman-needs-to-understand-the-tamsen-show	blog	auto	112	41	before-colon	Hot Flashes and Your Heart: What Every Midlife Woman Needs to Understand | The Tamsen Show | Blog | Tamsen Fadal	Hot Flashes and Your Heart | Tamsen Fadal
https://www.tamsenfadal.com/blog/the-hidden-power-of-repair-why-mistakes-can-make-relationships-stronger-the-tamsen-show	blog	auto	112	41	before-colon	The Hidden Power of Repair: Why Mistakes Can Make Relationships Stronger | The Tamsen Show | Blog | Tamsen Fadal	The Hidden Power of Repair | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-menopause-heart-doctor-reveals-the-3-warning-signs-doctors-dismiss	podcast	editorial	111	69	truncated	The Menopause Heart Doctor Reveals the 3 Warning Signs Doctors Dismiss | The Tamsen Show Podcast | Tamsen Fadal	The Menopause Heart Doctor Reveals the 3 Warning Signs | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-narcissist-decoder-how-smart-women-get-trapped-in-emotional-abuse	podcast	auto	111	37	before-colon	The Narcissist Decoder: How Smart Women Get Trapped in Emotional Abuse | The Tamsen Show Podcast | Tamsen Fadal	The Narcissist Decoder | Tamsen Fadal
https://www.tamsenfadal.com/blog/everything-i-didnt-know-about-hair-loss-until-my-dermatologist-sat-down-and-explained-it	blog	editorial	111	64	truncated	Everything I Didn't Know About Hair Loss Until My Dermatologist Sat Down and Explained It | Blog | Tamsen Fadal	Everything I Didn't Know About Hair Loss Until My | Tamsen Fadal
https://www.tamsenfadal.com/blog/most-women-with-sleep-apnea-dont-snore-thats-why-doctors-miss-it-the-tamsen-show	blog	editorial	111	70	truncated	Most Women with Sleep Apnea Don‚Äôt Snore. That‚Äôs Why Doctors Miss It | The Tamsen Show | Blog | Tamsen Fadal	Most Women with Sleep Apnea Don‚Äôt Snore. That‚Äôs Why | Tamsen Fadal
https://www.tamsenfadal.com/podcast/perimenopause-101-the-symptoms-tests-fixes-no-one-tells-you-about	podcast	auto	110	32	before-colon	Perimenopause 101: The Symptoms, Tests & Fixes No One Tells You About | The Tamsen Show Podcast | Tamsen Fadal	Perimenopause 101 | Tamsen Fadal
https://www.tamsenfadal.com/podcast/relationship-q-and-a-red-flags-dating-after-divorce-commitment-issues	podcast	auto	110	31	before-colon	Relationship Q&A: Red Flags, Dating After Divorce & Commitment Issues | The Tamsen Show Podcast | Tamsen Fadal	Relationship Q&A | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-sleep-doctor-to-worlds-top-athletes-explains-why-you-cant-sleep	podcast	editorial	110	68	truncated	The Sleep Doctor to World’s Top Athletes Explains Why You Can’t Sleep | The Tamsen Show Podcast | Tamsen Fadal	The Sleep Doctor to World’s Top Athletes Explains Why | Tamsen Fadal
https://www.tamsenfadal.com/podcast/alcohol-101-belly-fat-bad-sleep-and-the-long-term-cost-of-drinking	podcast	editorial	109	66	truncated	Alcohol 101: Belly Fat, Bad Sleep and the Long-Term Cost of Drinking | The Tamsen Show Podcast | Tamsen Fadal	Alcohol 101: Belly Fat, Bad Sleep and the Long-Term | Tamsen Fadal
https://www.tamsenfadal.com/podcast/exhausted-gaining-weight-and-feeling-off-this-is-whats-happening	podcast	editorial	109	66	truncated	Exhausted, Gaining Weight, and Feeling Off? THIS Is What’s Happening | The Tamsen Show Podcast | Tamsen Fadal	Exhausted, Gaining Weight, and Feeling Off? THIS Is | Tamsen Fadal
https://www.tamsenfadal.com/podcast/glp-1s-and-hormone-therapy-what-the-science-says-and-why-it-matters	podcast	auto	109	41	before-colon	GLP-1s and Hormone Therapy: What the Science Says and Why It Matters | The Tamsen Show Podcast | Tamsen Fadal	GLP-1s and Hormone Therapy | Tamsen Fadal
https://www.tamsenfadal.com/podcast/hair-loss-dry-skin-and-sagging-skin-the-1-dermatologist-explains	podcast	auto	109	52	before-colon	Hair Loss, Dry Skin, and Sagging Skin: The #1 Dermatologist Explains | The Tamsen Show Podcast | Tamsen Fadal	Hair Loss, Dry Skin, and Sagging Skin | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-1-ozempic-doctor-reveals-the-truth-about-glp-1s-and-microdosing	podcast	editorial	109	67	truncated	The #1 Ozempic Doctor Reveals The Truth About GLP-1s and Microdosing | The Tamsen Show Podcast | Tamsen Fadal	The #1 Ozempic Doctor Reveals The Truth About GLP-1s | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-fertility-expert-egg-freezing-perimenopause-glp-1s-explained	podcast	auto	109	35	before-colon	The Fertility Expert: Egg Freezing, Perimenopause & GLP-1s Explained | The Tamsen Show Podcast | Tamsen Fadal	The Fertility Expert | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-longevity-doctor-the-5-simple-tests-that-predict-how-youll-age	podcast	auto	109	35	before-colon	The Longevity Doctor: The 5 Simple Tests That Predict How You'll Age | The Tamsen Show Podcast | Tamsen Fadal	The Longevity Doctor | Tamsen Fadal
https://www.tamsenfadal.com/blog/why-your-dating-profile-isnt-working-and-the-data-backed-fix-that-changes-everything	blog	editorial	109	61	truncated	Why Your Dating Profile Isn’t Working (And the Data-Backed Fix That Changes Everything) | Blog | Tamsen Fadal	Why Your Dating Profile Isn’t Working (And the | Tamsen Fadal
https://www.tamsenfadal.com/podcast/emotional-immaturity-in-parents-how-it-shows-up-in-your-adult-life	podcast	auto	108	46	before-colon	Emotional Immaturity in Parents: How It Shows Up in Your Adult Life | The Tamsen Show Podcast | Tamsen Fadal	Emotional Immaturity in Parents | Tamsen Fadal
https://www.tamsenfadal.com/podcast/estrogen-101-what-i-learned-from-the-worlds-top-menopause-doctors	podcast	editorial	108	64	truncated	Estrogen 101: What I Learned From the World’s Top Menopause Doctors | The Tamsen Show Podcast | Tamsen Fadal	Estrogen 101: What I Learned From the World’s Top | Tamsen Fadal
https://www.tamsenfadal.com/podcast/peeing-when-you-sneeze-pelvic-floor-specialist-explains-why	podcast	editorial	108	69	truncated	Peeing When You Sneeze? The #1 Pelvic Floor Specialist Explains Why | The Tamsen Show Podcast | Tamsen Fadal	Peeing When You Sneeze? The #1 Pelvic Floor Specialist | Tamsen Fadal
https://www.tamsenfadal.com/podcast/4-ways-to-make-friends-as-an-adult-and-actually-find-your-people	podcast	editorial	107	68	truncated	4 Ways to Make Friends as an Adult (And Actually Find Your People) | The Tamsen Show Podcast | Tamsen Fadal	4 Ways to Make Friends as an Adult (And Actually Find | Tamsen Fadal
https://www.tamsenfadal.com/podcast/if-youre-going-through-a-friendship-breakup-you-need-to-hear-this	podcast	editorial	107	68	truncated	If You’re Going Through a Friendship Breakup You Need To Hear This | The Tamsen Show Podcast | Tamsen Fadal	If You’re Going Through a Friendship Breakup You Need | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-fertility-expert-egg-freezing-ivf-and-supplements-explained	podcast	auto	107	35	before-colon	The Fertility Expert: Egg Freezing, IVF, and Supplements Explained | The Tamsen Show Podcast | Tamsen Fadal	The Fertility Expert | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-hidden-reason-you-keep-choosing-emotionally-unavailable-people	podcast	editorial	107	62	truncated	The Hidden Reason You Keep Choosing Emotionally Unavailable People | The Tamsen Show Podcast | Tamsen Fadal	The Hidden Reason You Keep Choosing Emotionally | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-longevity-expert-these-3-habits-will-change-how-long-you-live	podcast	auto	107	35	before-colon	The Longevity Expert: These 3 Habits Will Change How Long You Live | The Tamsen Show Podcast | Tamsen Fadal	The Longevity Expert | Tamsen Fadal
https://www.tamsenfadal.com/podcast/why-you-always-feel-behind-and-the-simple-tools-that-will-free-you	podcast	editorial	107	67	truncated	Why You Always Feel Behind and the Simple Tools That Will Free You | The Tamsen Show Podcast | Tamsen Fadal	Why You Always Feel Behind and the Simple Tools That | Tamsen Fadal
https://www.tamsenfadal.com/blog/fertility-is-not-just-a-womens-issue-and-why-male-health-matters-more-than-you-think	blog	editorial	107	65	truncated	Fertility Is Not Just a Women’s Issue and Why Male Health Matters More Than You Think | Blog | Tamsen Fadal	Fertility Is Not Just a Women’s Issue and Why Male | Tamsen Fadal
https://www.tamsenfadal.com/blog/how-to-navigate-a-hormonal-household-without-losing-your-cool-the-tamsen-show	blog	editorial	107	65	truncated	How to Navigate a ‚ÄòHormonal Household‚Äô Without Losing Your Cool | The Tamsen Show | Blog | Tamsen Fadal	How to Navigate a ‚ÄòHormonal Household‚Äô Without | Tamsen Fadal
https://www.tamsenfadal.com/podcast/jamie-lynn-sigler-how-to-forgive-yourself-and-rewrite-your-story	podcast	auto	106	32	before-colon	Jamie Lynn Sigler: How to Forgive Yourself and Rewrite Your Story | The Tamsen Show Podcast | Tamsen Fadal	Jamie Lynn Sigler | Tamsen Fadal
https://www.tamsenfadal.com/blog/how-emma-heming-willis-found-a-new-way-to-communicate-with-her-husband-bruce-willis	blog	editorial	106	68	truncated	How Emma Heming Willis Found a New Way to Communicate with her Husband, Bruce Willis | Blog | Tamsen Fadal	How Emma Heming Willis Found a New Way to Communicate | Tamsen Fadal
https://www.tamsenfadal.com/blog/restless-leg-syndrome-in-menopause-what-it-is-and-how-to-treat-it-the-tamsen-show	blog	auto	106	49	before-colon	Restless Leg Syndrome in Menopause: What It Is and How to Treat It | The Tamsen Show | Blog | Tamsen Fadal	Restless Leg Syndrome in Menopause | Tamsen Fadal
https://www.tamsenfadal.com/blog/why-most-women-are-working-out-more-than-they-need-to-and-still-not-seeing-results	blog	editorial	106	68	truncated	Why Most Women Are Working Out More Than They Need To (And Still Not Seeing Results) | Blog | Tamsen Fadal	Why Most Women Are Working Out More Than They Need To | Tamsen Fadal
https://www.tamsenfadal.com/blog/alloy-womens-health-anne-fulenwider-have-the-answers-to-your-menopause-questions	blog	editorial	105	70	truncated	Alloy Women's Health & Anne Fulenwider Have the Answers to Your Menopause Questions | Blog | Tamsen Fadal	Alloy Women's Health & Anne Fulenwider Have the Answers | Tamsen Fadal
https://www.tamsenfadal.com/blog/pellets-creams-or-gels-your-guide-to-testosterone-for-menopause-the-tamsen-show	blog	editorial	105	70	truncated	Pellets, Creams or Gels? Your Guide to Testosterone for Menopause | The Tamsen Show | Blog | Tamsen Fadal	Pellets, Creams or Gels? Your Guide to Testosterone for | Tamsen Fadal
https://www.tamsenfadal.com/podcast/healing-the-grief-the-love-and-the-silence-around-your-mother	podcast	editorial	104	66	truncated	Healing the Grief, the Love, and the Silence Around Your Mother | The Tamsen Show Podcast | Tamsen Fadal	Healing the Grief, the Love, and the Silence Around | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-foot-expert-the-6-shoe-mistakes-that-are-hurting-your-body	podcast	editorial	104	68	truncated	The Foot Expert: The 6 Shoe Mistakes That Are Hurting Your Body | The Tamsen Show Podcast | Tamsen Fadal	The Foot Expert: The 6 Shoe Mistakes That Are Hurting | Tamsen Fadal
https://www.tamsenfadal.com/blog/50-is-the-new-50-with-pro-age-advocate-and-founder-of-goodbye-crop-top-wendy-euler	blog	auto	104	31	drop-guest-clause	50 Is The New 50 with Pro-age Advocate and Founder of Goodbye Crop Top Wendy Euler | Blog | Tamsen Fadal	50 Is The New 50 | Tamsen Fadal
https://www.tamsenfadal.com/blog/is-your-brain-fog-actually-perimenopause-what-the-research-says-the-tamsen-show	blog	editorial	104	65	truncated	Is Your Brain Fog Actually Perimenopause? What the Research Says | The Tamsen Show | Blog | Tamsen Fadal	Is Your Brain Fog Actually Perimenopause? What the | Tamsen Fadal
https://www.tamsenfadal.com/blog/sex-isnt-supposed-to-hurt-this-hormone-could-change-everything-the-tamsen-show	blog	editorial	104	68	truncated	Sex Isn't Supposed to Hurt, This Hormone Could Change Everything | The Tamsen Show | Blog | Tamsen Fadal	Sex Isn't Supposed to Hurt, This Hormone Could Change | Tamsen Fadal
https://www.tamsenfadal.com/blog/everything-you-need-to-know-about-your-bones-before-its-too-late-to-build-them	blog	editorial	103	67	truncated	Everything You Need to Know About Your Bones (Before It's Too Late to Build Them) | Blog | Tamsen Fadal	Everything You Need to Know About Your Bones (Before | Tamsen Fadal
https://www.tamsenfadal.com/podcast/is-it-the-relationship-or-is-it-menopause-heres-how-to-tell	podcast	editorial	102	68	truncated	Is It the Relationship or Is It Menopause? Here's How to Tell | The Tamsen Show Podcast | Tamsen Fadal	Is It the Relationship or Is It Menopause? Here's How | Tamsen Fadal
